CIDADE,BAIRRO
adamantina,8
adolfo,1
aguai,6
aguas-da-prata,3
aguas-de-lindoia,6
aguas-de-santa-barbara,2
aguas-de-sao-pedro,3
agudos,6
alfredo-marcondes,1
altair,1
altinopolis,6
alto-alegre,1
aluminio,3
alvares-florence,1
alvares-machado,4
alvaro-de-carvalho,1
alvinlandia,1
americana,43
americo-brasiliense,6
americo-de-campos,2
amparo,10
analandia,1
andradina,8
angatuba,4
anhumas,1
aparecida,7
aparecida-doeste,1
apiai,5
aracariguama,2
aracatuba,35
aracoiaba-da-serra,2
aramina,1
arandu,2
araraquara,34
araras,13
arealva,1
areiopolis,2
ariranha,2
artur-nogueira,6
aruja,8
assis,12
atibaia,20
auriflama,6
avai,1
avanhandava,2
avare,10
bady-bassitt,3
balsamo,1
bananal,3
barbosa,1
bariri,6
barra-bonita,8
barra-do-turvo,1
barretos,15
barrinha,5
barueri,91
bastos,6
batatais,7
bauru,66
bebedouro,10
bernardino-de-campos,3
bertioga,6
bilac,2
birigui,15
biritiba-mirim,3
boa-esperanca-do-sul,3
bocaina,3
bofete,1
boituva,8
bom-jesus-dos-perdoes,4
bora,1
boraceia,1
borborema,4
botucatu,20
braganca-paulista,20
brauna,1
brodowski,5
brotas,5
buri,2
buritama,5
buritizal,1
cabralia-paulista,1
cabreuva,7
cacapava,10
cachoeira-paulista,4
caconde,4
cafelandia,5
caiabu,1
caieiras,9
caiua,1
cajamar,10
cajati,5
cajobi,3
cajuru,6
campinas,268
campo-limpo-paulista,9
campos-do-jordao,8
campos-novos-paulista,1
cananeia,2
candido-mota,5
candido-rodrigues,2
capao-bonito,7
capela-do-alto,2
capivari,6
caraguatatuba,11
carapicuiba,16
cardoso,3
casa-branca,6
castilho,3
catanduva,17
catigua,1
cedral,2
cerqueira-cesar,5
cerquilho,6
cesario-lange,4
charqueada,4
chavantes,5
clementina,1
colina,4
colombia,1
conchal,5
conchas,4
cordeiropolis,6
coroados,1
corumbatai,1
cosmopolis,7
cosmorama,2
cotia,24
cravinhos,6
cristais-paulista,1
cruzalia,2
cruzeiro,10
cubatao,12
cunha,3
descalvado,6
diadema,47
divinolandia,3
dois-corregos,5
dolcinopolis,1
dourado,1
dracena,8
duartina,4
dumont,1
echapora,1
eldorado,2
elias-fausto,5
embauba,1
embu-das-artes,12
embu-guacu,6
engenheiro-coelho,3
espirito-santo-do-pinhal,8
espirito-santo-do-turvo,1
estiva-gerbi,3
estrela-doeste,5
euclides-da-cunha-paulista,1
fartura,4
fernando-prestes,2
fernandopolis,9
ferraz-de-vasconcelos,8
florida-paulista,3
florinea,1
franca,42
francisco-morato,7
franco-da-rocha,7
gabriel-monteiro,1
galia,2
garca,8
gastao-vidigal,1
general-salgado,4
getulina,4
glicerio,1
guaicara,1
guaimbe,1
guaira,7
guapiacu,5
guapiara,3
guara,5
guaracai,3
guaraci,2
guaranta,1
guararapes,6
guararema,5
guaratingueta,18
guarei,2
guariba,5
guaruja,26
guarulhos,131
herculandia,2
holambra,4
hortolandia,16
iacanga,2
iacri,1
iaras,1
ibate,5
ibira,3
ibirarema,2
ibitinga,7
ibiuna,7
icem,3
iepe,2
igaracu-do-tiete,4
igarapava,6
iguape,5
ilha-comprida,1
ilha-solteira,5
ilhabela,6
indaiatuba,31
indiana,1
indiapora,2
inubia-paulista,1
ipaussu,4
ipero,3
ipeuna,2
ipua,3
iracemapolis,5
irapua,1
irapuru,2
itabera,3
itai,5
itajobi,3
itaju,1
itanhaem,10
itapecerica-da-serra,11
itapetininga,14
itapeva,8
itapevi,10
itapira,8
itapolis,7
itaporanga,4
itapui,3
itaquaquecetuba,15
itarare,6
itariri,2
itatiba,12
itatinga,3
itirapina,4
itirapua,1
itobi,1
itu,22
itupeva,5
ituverava,7
jaborandi,1
jaboticabal,10
jacarei,20
jaci,1
jacupiranga,5
jaguariuna,9
jales,8
jambeiro,1
jandira,5
jardinopolis,6
jarinu,5
jau,18
jeriquara,1
joanopolis,1
joao-ramalho,1
jose-bonifacio,6
julio-mesquita,1
jundiai,76
junqueiropolis,5
juquia,4
juquitiba,5
lagoinha,1
laranjal-paulista,6
lavinia,1
leme,10
lencois-paulista,7
limeira,33
lindoia,1
lins,13
lorena,9
louveira,6
lucelia,5
lucianopolis,1
luis-antonio,5
luiziania,1
lupercio,1
macatuba,5
macaubal,2
magda,1
mairinque,7
mairipora,8
manduri,2
maraba-paulista,1
maracai,4
mariapolis,1
marilia,37
martinopolis,5
matao,10
maua,34
mendonca,1
miguelopolis,5
mineiros-do-tiete,2
miracatu,3
mirandopolis,5
mirante-do-paranapanema,3
mirassol,7
mirassolandia,1
mococa,10
mogi-das-cruzes,41
mogi-guacu,18
mogi-mirim,13
mombuca,1
moncoes,1
mongagua,6
monte-alegre-do-sul,2
monte-alto,9
monte-aprazivel,6
monte-azul-paulista,5
monte-castelo,1
monte-mor,7
monteiro-lobato,1
morro-agudo,6
morungaba,3
murutinga-do-sul,1
narandiba,1
nazare-paulista,2
neves-paulista,2
nhandeara,4
nipoa,1
nova-alianca,1
nova-europa,2
nova-granada,5
nova-guataporanga,1
nova-luzitania,1
nova-odessa,8
novo-horizonte,6
nuporanga,1
ocaucu,1
olimpia,8
onda-verde,1
oriente,2
orindiuva,1
orlandia,8
osasco,104
oscar-bressane,1
osvaldo-cruz,7
ourinhos,12
ouro-verde,1
ouroeste,4
pacaembu,4
palestina,3
palmares-paulista,2
palmeira-doeste,3
palmital,5
panorama,5
paraguacu-paulista,6
paraibuna,4
paraiso,2
paranapanema,4
paranapua,1
parapua,3
pardinho,2
pariquera-acu,4
patrocinio-paulista,4
pauliceia,1
paulinia,14
paulo-de-faria,3
pederneiras,6
pedra-bela,2
pedregulho,5
pedreira,7
pedrinhas-paulista,1
pedro-de-toledo,1
penapolis,9
pereira-barreto,6
pereiras,2
peruibe,7
piacatu,2
piedade,7
pilar-do-sul,4
pindamonhangaba,15
pindorama,4
pinhalzinho,2
piquerobi,1
piquete,2
piracaia,7
piracicaba,63
piraju,7
pirajui,5
pirangi,4
pirapora-do-bom-jesus,1
pirapozinho,6
pirassununga,10
piratininga,2
pitangueiras,6
planalto,1
platina,1
poa,15
poloni,1
pompeia,5
pongai,1
pontal,7
populina,1
porangaba,2
porto-feliz,7
porto-ferreira,7
potim,2
potirendaba,5
pradopolis,3
praia-grande,24
pratania,1
presidente-alves,1
presidente-bernardes,4
presidente-epitacio,7
presidente-prudente,43
presidente-venceslau,7
promissao,6
quata,4
queiroz,1
queluz,2
quintana,1
rafard,1
rancharia,6
redencao-da-serra,1
regente-feijo,6
reginopolis,1
registro,8
restinga,1
ribeirao-bonito,3
ribeirao-branco,2
ribeirao-corrente,1
ribeirao-do-sul,1
ribeirao-pires,13
ribeirao-preto,148
rifaina,1
rincao,2
rinopolis,3
rio-claro,24
rio-das-pedras,5
rio-grande-da-serra,4
riolandia,3
rosana,2
roseira,1
rubiacea,1
sabino,1
sagres,1
sales,1
sales-oliveira,3
salesopolis,4
salmourao,1
saltinho,2
salto,12
salto-de-pirapora,4
salto-grande,1
santa-adelia,5
santa-albertina,1
santa-barbara-doeste,16
santa-branca,3
santa-clara-doeste,1
santa-cruz-da-conceicao,1
santa-cruz-das-palmeiras,7
santa-cruz-do-rio-pardo,7
santa-ernestina,1
santa-fe-do-sul,7
santa-gertrudes,5
santa-isabel,6
santa-lucia,1
santa-maria-da-serra,1
santa-rita-do-passa-quatro,6
santa-rita-doeste,1
santa-rosa-de-viterbo,6
santana-da-ponte-pensa,1
santana-de-parnaiba,16
santo-anastacio,6
santo-andre,114
santo-antonio-de-posse,5
santo-antonio-do-jardim,1
santo-antonio-do-pinhal,1
santo-expedito,1
santopolis-do-aguapei,1
santos,111
sao-bento-do-sapucai,3
sao-bernardo-do-campo,116
sao-caetano-do-sul,57
sao-carlos,37
sao-joao-da-boa-vista,11
sao-joao-do-pau-dalho,1
sao-joaquim-da-barra,8
sao-jose-da-bela-vista,1
sao-jose-do-barreiro,1
sao-jose-do-rio-pardo,9
sao-jose-do-rio-preto,87
sao-jose-dos-campos,100
sao-lourenco-da-serra,2
sao-luis-do-paraitinga,2
sao-manuel,7
sao-miguel-arcanjo,5
sao-paulo,2724
sao-pedro,7
sao-pedro-do-turvo,2
sao-roque,10
sao-sebastiao,11
sao-sebastiao-da-grama,4
sao-simao,5
sao-vicente,28
sarapui,1
sarutaia,1
sebastianopolis-do-sul,1
serra-azul,2
serra-negra,6
serrana,6
sertaozinho,16
sete-barras,2
severinia,2
silveiras,1
socorro,6
sorocaba,97
sud-mennucci,2
sumare,23
suzano,20
tabapua,4
tabatinga,3
taboao-da-serra,23
taciba,1
taguai,2
taiacu,1
taiuva,2
tambau,5
tanabi,6
tapirai,1
tapiratiba,4
taquaritinga,10
taquarituba,5
tarabai,1
taruma,2
tatui,11
taubate,41
teodoro-sampaio,4
terra-roxa,2
tiete,8
timburi,1
torrinha,2
tremembe,4
tres-fronteiras,1
tupa,9
tupi-paulista,4
ubatuba,8
ubirajara,1
uchoa,4
uniao-paulista,1
urania,2
urupes,5
valentim-gentil,3
valinhos,17
valparaiso,5
vargem-grande-do-sul,7
vargem-grande-paulista,7
varzea-paulista,7
vera-cruz,2
vinhedo,14
viradouro,4
vista-alegre-do-alto,1
votorantim,12
votuporanga,13
